 ,Label,Area,Mean,Min,Max
132,1894_G3_5.tif:1894_G3_5_green,7368,24444.675,0,65535
133,1894_G3_5.tif:1894_G3_5_green,6310,20037.129,0,65535
134,1894_G3_5.tif:1894_G3_5_green,8583,26454.839,0,65535
135,1894_G3_5.tif:1894_G3_5_green,7094,5380.207,0,50890
136,1894_G3_5.tif:1894_G3_5_green,7552,24655.655,54,65535
137,1894_G3_5.tif:1894_G3_5_green,7958,15790.756,0,65263
138,1894_G3_5.tif:1894_G3_5_green,7401,18773.019,0,65535
139,1894_G3_5.tif:1894_G3_5_green,3900,17444.867,20,62043
140,1894_G3_5.tif:1894_G3_5_green,3799,9947.993,0,50867
141,931_H7_1.tif:931_H7_1_green,6239,42474.449,309,65535
142,931_H7_1.tif:931_H7_1_green,7016,40936.297,5528,65535
143,931_H7_1.tif:931_H7_1_green,7625,54340.664,5620,65535
144,931_H7_1.tif:931_H7_1_green,6428,41416.549,2204,65535
145,931_H7_1.tif:931_H7_1_green,7038,40971.392,2136,65535
146,931_H7_1.tif:931_H7_1_green,7706,41300.167,3735,65535
147,931_H7_1.tif:931_H7_1_green,1875,47067.750,9597,65535
148,931_H7_1.tif:931_H7_1_green,7214,44975.696,1268,65535
149,931_H7_1.tif:931_H7_1_green,8180,39939.585,2519,65535
150,931_H7_1.tif:931_H7_1_green,6125,44706.915,1550,65535
151,931_H7_1.tif:931_H7_1_green,8015,55304.782,1445,65535
152,931_H7_1.tif:931_H7_1_green,9220,47009.609,4632,65535
153,931_H7_1.tif:931_H7_1_green,7831,42610.650,3212,65535
154,931_H7_1.tif:931_H7_1_green,4992,35646.746,5998,65535
155,931_H7_1.tif:931_H7_1_green,7287,46720.111,1709,65535
156,931_H7_1.tif:931_H7_1_green,6004,41663.868,0,65535
157,931_H7_1.tif:931_H7_1_green,1696,47096.035,5054,65535
158,1773_H11_2.tif:1773_H11_2_green,8228,17612.773,0,63707
159,1773_H11_2.tif:1773_H11_2_green,8199,15176.566,0,60175
160,1773_H11_2.tif:1773_H11_2_green,4125,14472.652,0,65535
161,1773_H11_2.tif:1773_H11_2_green,8618,20248.815,0,65535
162,1773_H11_2.tif:1773_H11_2_green,2360,18040.140,56,65535
163,1773_H11_2.tif:1773_H11_2_green,6908,10124.654,0,58300
164,1773_H11_2.tif:1773_H11_2_green,7769,17481.606,0,65535
165,1773_H11_2.tif:1773_H11_2_green,8244,15241.456,0,65165
166,1773_H11_2.tif:1773_H11_2_green,6328,13187.482,0,63740
167,1773_H11_2.tif:1773_H11_2_green,7790,19250.251,0,65535
168,1773_H11_2.tif:1773_H11_2_green,9530,14715.023,0,64423
169,1773_H11_2.tif:1773_H11_2_green,8052,14169.816,0,58368
